,package name,app version code,app version name,reviewer language,device,date,review submit millis since epoch,review last update date and time,review last update millis since epoch,rating,review title,review text,developer reply date and time,developer reply millis since epoch,developer reply text,review link
0,com.vansteinengroentjes.apps.ddfive,282.0,8.0.9,en,flox,2021-06-01,1622543304307,2021-06-01T10:28:24Z,1622543304307,5,,,,,,
1,com.vansteinengroentjes.apps.ddfive,282.0,8.0.9,en,river,2021-06-02,1622650584378,2021-06-02T16:16:24Z,1622650584378,2,,"No monster descriptions, just stats. If there is some way remove the ads then they've hidden it somewhere.",2021-06-02T16:40:58Z,1622652058413.0,Unlocking either the dm tools or the character manager also removes the ads.,http://play.google.com/console/developers/6648802986441531007/app/4976333163217908350/user-feedback/review-details?reviewId=gp:AOqpTOH4a1GtH8_pmi5sB2h-Z1UHtLvrU5P4IZ-7VL4E4A39iDLdC3VBCb1BPvzTF6ThlYm6V4z6irndylFiow&corpus=PUBLIC_REVIEWS
2,com.vansteinengroentjes.apps.ddfive,,,en,U693CL,2021-06-08,1623132108319,2021-06-08T06:01:48Z,1623132108319,5,,Wizard,,,,http://play.google.com/console/developers/6648802986441531007/app/4976333163217908350/user-feedback/review-details?reviewId=gp:AOqpTOHcg-czUnx42ctMulohdwmJUuWdXSrF3ORJ-mQWD1wPuf6wXVuwr5pzi9M-AlJmP8bBj3LShTMMaw-vZw&corpus=PUBLIC_REVIEWS
4,com.vansteinengroentjes.apps.ddfive,282.0,8.0.9,de,OnePlus7TPro,2021-06-12,1623496820823,2021-06-12T11:21:34Z,1623496894692,3,,"Would be very useful if it wasn't so buggy. Current HP sometimes don't save or are not carried over from battle mode, no direct support for Druid Wild Shape, prepared spells and skill ranks get reset whenever they scroll out of view, no quick way to tell how many spellslots are used or still useable...",,,,http://play.google.com/console/developers/6648802986441531007/app/4976333163217908350/user-feedback/review-details?reviewId=gp:AOqpTOEW-qFUB-MsoJjFx2zSyVdGQc3uFdDz2qekeWcGiJcNRjrEgX2_JNDZCdS7TfBJnjwyF89ryNXqF_DzhQ&corpus=PUBLIC_REVIEWS
5,com.vansteinengroentjes.apps.ddfive,282.0,8.0.9,en,mdh30lm,2021-06-12,1623537176333,2021-06-12T22:32:56Z,1623537176333,5,,,,,,
6,com.vansteinengroentjes.apps.ddfive,264.0,8.0.1,tr,ginkgo,2021-06-16,1623884018168,2021-06-16T22:53:38Z,1623884018168,5,,Useful,,,,http://play.google.com/console/developers/6648802986441531007/app/4976333163217908350/user-feedback/review-details?reviewId=gp:AOqpTOEUFH0XdvVQNy3uLgKKTFYpA_tkkhKbBytrw-mqzj9rrnSqCUbJdF7fo2V-qWrDszCrCYyvXy5e2mi89w&corpus=PUBLIC_REVIEWS
7,com.vansteinengroentjes.apps.ddfive,282.0,8.0.9,en,R1,2021-06-18,1623991379905,2021-06-18T04:42:59Z,1623991379905,5,,I'm not a D&D player but this app quite good reference for writing fantasy as a reference. Feature request: Create content in offline mode with built-in template and example.,2021-06-18T05:47:26Z,1623995246609.0,Thank you for the nice review. We will take your feature request into consideration.,http://play.google.com/console/developers/6648802986441531007/app/4976333163217908350/user-feedback/review-details?reviewId=gp:AOqpTOErAKSvI8BN30pWAoqAfomeq2R781-1I5G5TEn4fLuks3odaI3Hx959XS296h4-0i6WYSFQXdTv3VDDEg&corpus=PUBLIC_REVIEWS
8,com.vansteinengroentjes.apps.ddfive,282.0,8.0.9,en,star2qltesq,2021-06-20,1624229236568,2021-06-20T23:01:56Z,1624230116627,3,,"This should be called the INcomplete reference doing a search for a class brings up only one way to play that class. Wizard for example only shows one school to choose from where there should be eight. With absolutely no reference to any other material from any other search criteria. At best this app is a good reference point for a wide range of topics, but if you want to actually know about any single topic you can find more in the basic phb",2021-06-21T05:54:27Z,1624254867576.0,"Thank you for the review. The app comes initially with the SRD 5 content (an open source subset of the phb). For a lot of additional content, have a look at our forums on complete-reference.com/forum from there you can easily add content to the app.",http://play.google.com/console/developers/6648802986441531007/app/4976333163217908350/user-feedback/review-details?reviewId=gp:AOqpTOE1JurnatoGVxywJhfzBIMuoBYGVBPV5-USa2uaey9EaVJMupBR21eOVAxgcFW6OrcBFZPINl5ThkDqnw&corpus=PUBLIC_REVIEWS
9,com.vansteinengroentjes.apps.ddfive,271.0,8.0.3,es,Edison,2021-06-21,1624235233588,2021-06-21T00:27:13Z,1624235233588,5,,,,,,
10,com.vansteinengroentjes.apps.ddfive,,,en,OnePlusN10TMO,2021-06-22,1624365590590,2021-06-22T12:39:50Z,1624365590590,1,,Has jack rabbit for recource,,,,http://play.google.com/console/developers/6648802986441531007/app/4976333163217908350/user-feedback/review-details?reviewId=gp:AOqpTOEe2bimFqDYH2wdOvvnT3GtbQDOX_4jrb1IP8LPLvA-3aMdPDa0JjKlqv-TLC98L0TPFw8KOyt8lEPLJg&corpus=PUBLIC_REVIEWS
11,com.vansteinengroentjes.apps.ddfive,,,en,perry,2021-06-24,1624503746260,2021-06-24T03:02:26Z,1624503746260,5,,Wonderful,,,,http://play.google.com/console/developers/6648802986441531007/app/4976333163217908350/user-feedback/review-details?reviewId=gp:AOqpTOGMqYrhVZxfssvEWvocecKPXvgOq6ThorpG4QqMm6J7Q1eudkx86gUmXzo1bsLcGuq4s1gltvpCyyOATg&corpus=PUBLIC_REVIEWS
12,com.vansteinengroentjes.apps.ddfive,,,en,a71xq,2021-06-25,1624654970218,2021-06-25T21:02:50Z,1624654970218,5,,,,,,
13,com.vansteinengroentjes.apps.ddfive,259.0,7.8.15,en,a20p,2021-06-26,1624722405650,2021-06-26T15:46:45Z,1624722405650,5,,,,,,
14,com.vansteinengroentjes.apps.ddfive,,,en,starqlteue,2021-06-27,1624771692952,2021-06-27T05:28:12Z,1624771692952,4,,,,,,
15,com.vansteinengroentjes.apps.ddfive,282.0,8.0.9,en,c1q,2021-06-27,1624815646055,2021-06-27T17:40:46Z,1624815646055,2,,Needs more races and the sub classes,,,,http://play.google.com/console/developers/6648802986441531007/app/4976333163217908350/user-feedback/review-details?reviewId=gp:AOqpTOHakLSLnXtARDSC7nZF5Q0EpQqO4P3pcCZttuZPb4xMoQd_74B3GdVvcrWXwcXPN_TPm12kn6TTaXZJxQ&corpus=PUBLIC_REVIEWS
